description,eventtypes,hosts,indexes,inputlookups,lookups,myapp,outputlookups,queries,sources,sourcetypes,urlField
tbd,,,"index=corelight",,,"lame_training",,"index=corelight sourcetype=corelight_conn 
| table src_ip, dest_ip 
| stats dc(dest_ip) by src_ip",,"sourcetype=corelight_conn","12_help_stats_eventstats_streamstats"
tbd,,,"index=corelight",,,"lame_training",,"index=corelight sourcetype=corelight_conn 
| table src_ip, dest_ip 
| eventstats dc(dest_ip) by src_ip
| sort src_ip",,"sourcetype=corelight_conn","12_help_stats_eventstats_streamstats"
tbd,,,"index=corelight",,,"lame_training",,"index=corelight sourcetype=corelight_conn 
| table src_ip, dest_ip 
| sort src_ip
| streamstats dc(dest_ip) by src_ip",,"sourcetype=corelight_conn","12_help_stats_eventstats_streamstats"
tbd,,,"index=corelight",,,"lame_training",,"index=corelight sourcetype=corelight_conn 
| streamstats count as EventCount
| table _time, EventCount",,"sourcetype=corelight_conn","12_help_stats_eventstats_streamstats"
tbd,,,"index=corelight",,,"lame_training",,"index=corelight sourcetype=corelight_conn 
| streamstats avg(bytes_out)  window=10
| table avg(bytes_out), _time",,"sourcetype=corelight_conn","12_help_stats_eventstats_streamstats"
tbd,,,"index=corelight",,,"lame_training",,"index=corelight sourcetype=corelight_dhcp 
| streamstats current=false last(src_ip) as new_dhcp_ip last(_time) as time_of_change by mac
| where src_ip!=new_dhcp_ip 
| convert ctime(time_of_change) as time_of_change 
| rename src_ip as old_dhcp_ip 
| table time_of_change, mac, old_dhcp_ip, new_dhcp_ip",,"sourcetype=corelight_dhcp","12_help_stats_eventstats_streamstats"
tbd,,,"index=os",,,"lame_training",,"index=os process=sshd (action=failure OR action=success) AND (Accepted OR Failed) user=troy
| sort 0 src, dest, user, _time asc
| streamstats count as contiguous_action by src, dest, user action current=true window=50 reset_on_change=true
| where (action=""success"" AND contiguous_action&gt;3) OR (action=""failure"" AND contiguous_action=1)
| sort - _time
| transaction src, dest, user  maxevents=2 startswith=action=""success"" endswith=action=failure
| rename contiguous_action as success_attempts

| stats count values(dest) as distinct_dests sum(success_attempts) as ""Total Successes"" by user",,,"12_help_stats_eventstats_streamstats"
tbd,,,,"inputlookup Demo_SSH_Logs.csv",,"lame_training",,"| inputlookup Demo_SSH_Logs.csv
| sort 0 src, dest, user, _time asc
 | streamstats count as contiguous_action by src, dest, user action current=true window=50 reset_on_change=true
| where (action=""success"" AND contiguous_action&gt;3) OR (action=""failure"" AND contiguous_action=1)
| sort - _time
| transaction src, dest, user  maxevents=2 startswith=action=""success"" endswith=action=failure
| rename contiguous_action as success_attempts

| stats count values(dest) as distinct_dests sum(success_attempts) as ""Total Successes"" by user",,,"12_help_stats_eventstats_streamstats"
tbd,"eventtype=bro_conn",,,,,"lame_training",,"eventtype=bro_conn src_ip=10.89.11.* NOT (dest_ip=192.168.* OR dest_ip=10.* ) AND action!=dropped
|  stats sum(bytes_out) as ""sumOfBytesOut"" by src_ip, dest_ip
| eventstats sum(sumOfBytesOut) AS total_bytes_out by src_ip
| table src_ip dest_ip sumOfBytesOut, total_bytes_out
| sort src_ip - sumOfBytesOut",,,"12_help_stats_eventstats_streamstats"
tbd,"eventtype=bro_conn",,,,,"lame_training",,"eventtype=bro_conn src_ip=10.89.11.* NOT (dest_ip=192.168.* OR dest_ip=10.* ) AND action!=dropped
|  stats sum(bytes_out) as ""sumOfBytesOut"" by src_ip, dest_ip
| eventstats sum(sumOfBytesOut) AS total_bytes_out by src_ip
| eval percent_bytes_out = sumOfBytesOut/total_bytes_out * 100
| table src_ip dest_ip total_bytes_out percent_bytes_out
| where percent_bytes_out &gt; 51
| sort - percent_bytes_out dest",,,"12_help_stats_eventstats_streamstats"
tbd,"eventtype=bro_conn",,,,,"lame_training",,"eventtype=bro_conn src_ip=10.89.11.* NOT (dest_ip=192.168.* OR dest_ip=10.* ) action!=dropped
| sort _time
| streamstats sum(bytes_out) as total_bytes_out by src_ip
| table _time bytes_out total_bytes_out",,,"12_help_stats_eventstats_streamstats"
