description,index,usegroup
tbd,"anomaly_detection",tbd
tbd,"asset_summary",tbd
tbd,"central_summary",tbd
tbd,"cim_modactions",tbd
tbd,corelight,tbd
tbd,"cs_sys_mon",tbd
tbd,history,tbd
tbd,inventory,tbd
tbd,"itsi_grouped_alerts",tbd
tbd,"itsi_im_meta",tbd
tbd,"itsi_im_metrics",tbd
tbd,"itsi_import_objects",tbd
tbd,"itsi_notable_archive",tbd
tbd,"itsi_notable_audit",tbd
tbd,"itsi_summary",tbd
tbd,"itsi_summary_metrics",tbd
tbd,"itsi_tracked_alerts",tbd
tbd,"lame_eventgen",tbd
tbd,"lame_training",tbd
tbd,main,tbd
tbd,"ml_anomaly_detection",tbd
tbd,os,tbd
tbd,pfsense,tbd
tbd,"phantom_action_run",tbd
tbd,"phantom_app",tbd
tbd,"phantom_app_run",tbd
tbd,"phantom_artifact",tbd
tbd,"phantom_asset",tbd
tbd,"phantom_container",tbd
tbd,"phantom_container_attachment",tbd
tbd,"phantom_container_comment",tbd
tbd,"phantom_custom_function",tbd
tbd,"phantom_decided_list",tbd
tbd,"phantom_note",tbd
tbd,"phantom_playbook",tbd
tbd,pihole,tbd
tbd,snmptrapd,tbd
tbd,"splunk_app_soar",tbd
tbd,summary,tbd
tbd,suricata,tbd
tbd,test,tbd
tbd,threathunting,tbd
tbd,wekan,tbd
tbd,windows,tbd
tbd,wineventlog,tbd
tbd,zeek,tbd
